date,hamon youtube,macron youtube,fillon youtube,le pen youtube,mélenchon youtube,query,time
"Jan 25, 2017","22.3030303030303","5.57575757575758","18.1212121212121","25.0909090909091","20.9090909090909","age","120"
"Jan 26, 2017","16.5393258426966","8.26966292134831","27.9101123595506","23.7752808988764","15.5056179775281","age","120"
"Jan 27, 2017","6.49411764705882","6.49411764705882","28.1411764705882","19.4823529411765","31.3882352941176","age","120"
"Jan 28, 2017","11.04","6.13333333333333","29.44","19.6266666666667","25.76","age","120"
"Jan 29, 2017","30.36","7.36","22.08","15.64","16.56","age","120"
"Jan 30, 2017","19.1666666666667","11.5","19.1666666666667","13.4166666666667","28.75","age","120"
"Jan 31, 2017","11.358024691358","4.54320987654321","32.9382716049383","18.1728395061728","24.9876543209877","age","120"
"Feb 1, 2017","6.81481481481481","13.6296296296296","30.6666666666667","21.5802469135802","19.3086419753086","age","120"
"Feb 2, 2017","4.77037037037037","7.4962962962963","42.2518518518519","25.2148148148148","12.2666666666667","age","120"
"Feb 3, 2017","3.57281553398058","6.25242718446602","47.3398058252427","15.1844660194175","19.6504854368932","age","120"
"Feb 4, 2017","1.76923076923077","18.5769230769231","30.0769230769231","21.2307692307692","20.3461538461538","age","120"
"Feb 5, 2017","7.54871794871795","8.49230769230769","15.5692307692308","15.0974358974359","45.2923076923077","age","120"
"Feb 6, 2017","3.2280701754386","6.45614035087719","42.7719298245614","24.2105263157895","15.3333333333333","age","120"
"Feb 7, 2017","5.63265306122449","10.3265306122449","32.8571428571429","18.7755102040816","24.4081632653061","age","120"
"Feb 8, 2017","3.78082191780822","10.0821917808219","36.5479452054795","23.9452054794521","17.6438356164384","age","120"
"Feb 9, 2017","3.32530120481928","9.97590361445783","22.1686746987952","33.2530120481928","23.2771084337349","age","120"
"Feb 10, 2017","0","7.66666666666667","16.4285714285714","58.047619047619","9.85714285714286","age","120"
"Feb 11, 2017","2.3","6.9","27.6","37.95","17.25","age","120"
"Feb 12, 2017","3.49367088607595","6.9873417721519","19.7974683544304","40.7594936708861","20.9620253164557","age","120"
"Feb 13, 2017","4.24615384615385","7.07692307692308","24.0615384615385","35.3846153846154","21.2307692307692","age","120"
"Feb 14, 2017","3.40740740740741","10.2222222222222","22.1481481481481","39.1851851851852","17.037037037037","age","120"
"Feb 15, 2017","3.11864406779661","7.79661016949153","31.1864406779661","21.8305084745763","28.0677966101695","age","120"
"Feb 16, 2017","3.2280701754386","19.3684210526316","27.4385964912281","16.140350877193","25.8245614035088","age","120"
"Feb 17, 2017","3.91489361702128","17.6170212765957","23.4893617021277","25.4468085106383","21.531914893617","age","120"
"Feb 18, 2017","8.625","14.375","18.6875","28.75","21.5625","age","120"
"Feb 19, 2017","1.97849462365591","6.9247311827957","5.93548387096774","8.90322580645161","68.258064516129","age","120"
"Feb 20, 2017","6.05263157894737","9.68421052631579","9.68421052631579","21.7894736842105","44.7894736842105","age","120"
"Feb 21, 2017","8.21428571428572","11.5","8.21428571428572","42.7142857142857","21.3571428571429","age","120"
