date,hamon 2017,macron 2017,fillon 2017,le pen 2017,mélenchon 2017,query,time
"Feb 12, 2017","7.51020408163265","15.9591836734694","19.7142857142857","38.4897959183673","10.3265306122449","age","120"
"Feb 13, 2017","6.81481481481481","12.4938271604938","27.2592592592593","38.6172839506173","6.81481481481481","age","120"
"Feb 14, 2017","7.95061728395062","14.7654320987654","35.2098765432099","29.5308641975309","4.54320987654321","age","120"
"Feb 15, 2017","7.26315789473684","18.1578947368421","31.4736842105263","26.6315789473684","8.47368421052632","age","120"
"Feb 16, 2017","6.47887323943662","19.4366197183099","29.8028169014085","28.5070422535211","7.77464788732394","age","120"
"Feb 17, 2017","8.11764705882353","13.5294117647059","25.7058823529412","33.8235294117647","10.8235294117647","age","120"
"Feb 18, 2017","8.05","25.3","27.6","20.7","10.35","age","120"
"Feb 19, 2017","8.08791208791209","16.1758241758242","20.2197802197802","34.3736263736264","13.1428571428571","age","120"
"Feb 20, 2017","7.3015873015873","14.6031746031746","21.9047619047619","33.5873015873016","14.6031746031746","age","120"
"Feb 21, 2017","6.66666666666667","17.3333333333333","26.6666666666667","33.3333333333333","8","age","120"
"Feb 22, 2017","7.23595505617978","24.8089887640449","22.7415730337079","28.9438202247191","8.26966292134831","age","120"
"Feb 23, 2017","8.55813953488372","26.7441860465116","19.2558139534884","28.8837209302326","8.55813953488372","age","120"
"Feb 24, 2017","8.87719298245614","29.0526315789474","23.4035087719298","21.7894736842105","8.87719298245614","age","120"
"Feb 25, 2017","5.30769230769231","23.8846153846154","30.0769230769231","25.6538461538462","7.07692307692308","age","120"
"Feb 26, 2017","8.64957264957265","22.017094017094","17.2991452991453","35.3846153846154","8.64957264957265","age","120"
"Feb 27, 2017","8.71578947368421","22.2736842105263","26.1473684210526","27.1157894736842","7.74736842105263","age","120"
"Feb 28, 2017","9.74117647058823","22.7294117647059","27.0588235294118","24.8941176470588","7.57647058823529","age","120"
"Mar 1, 2017","5.1830985915493","19.4366197183099","46.6478873239437","14.9014084507042","5.83098591549296","age","120"
"Mar 2, 2017","5.44086021505376","35.1182795698925","28.6881720430108","19.2903225806452","3.46236559139785","age","120"
"Mar 3, 2017","7.38686131386861","24.8467153284672","40.2919708029197","16.1167883211679","3.35766423357664","age","120"
"Mar 4, 2017","5.14285714285714","16","48","18.8571428571429","4","age","120"
"Mar 5, 2017","6.40506329113924","13.9746835443038","50.6582278481013","16.3037974683544","4.65822784810127","age","120"
"Mar 6, 2017","6.46875","15.8125","45.28125","19.40625","5.03125","age","120"
"Mar 7, 2017","7.73109243697479","18.5546218487395","40.9747899159664","19.327731092437","5.41176470588235","age","120"
"Mar 8, 2017","8.64957264957265","23.5897435897436","30.6666666666667","22.017094017094","7.07692307692308","age","120"
"Mar 9, 2017","8.36363636363636","26.9494949494949","26.9494949494949","21.3737373737374","8.36363636363636","age","120"
"Mar 10, 2017","12.7524752475248","23.6831683168317","28.2376237623762","19.1287128712871","8.1980198019802","age","120"
"Mar 11, 2017","6.63063063063063","25.6936936936937","23.2072072072072","28.1801801801802","8.28828828828829","age","120"
"Mar 12, 2017","6.96969696969697","23.6969696969697","32.7575757575758","20.2121212121212","8.36363636363636","age","120"
"Mar 13, 2017","5.41176470588235","24.7394957983193","33.2436974789916","20.1008403361345","8.50420168067227","age","120"
"Mar 14, 2017","7.78461538461539","19.8153846153846","39.6307692307692","16.9846153846154","7.78461538461539","age","120"
"Mar 15, 2017","7.73109243697479","18.5546218487395","33.2436974789916","22.4201680672269","10.0504201680672","age","120"
"Mar 16, 2017","10.4150943396226","21.6981132075472","26.9056603773585","24.3018867924528","8.67924528301887","age","120"
"Mar 17, 2017","7.81132075471698","21.6981132075472","29.5094339622642","19.9622641509434","13.0188679245283","age","120"
"Mar 18, 2017","6.04379562043796","18.8029197080292","21.4890510948905","23.5036496350365","22.1605839416058","age","120"
"Mar 19, 2017","14.6496815286624","21.6815286624204","18.7515923566879","21.0955414012739","15.8216560509554","age","120"
"Mar 20, 2017","11.5628415300546","22.120218579235","21.6174863387978","22.120218579235","14.5792349726776","age","120"
"Mar 21, 2017","7.52727272727273","23.4181818181818","20.4909090909091","23.8363636363636","16.7272727272727","age","120"
"Mar 22, 2017","5.78285714285714","18.4","29.44","22.6057142857143","15.7714285714286","age","120"
"Mar 23, 2017","5.67901234567901","22.716049382716","25.5555555555556","22.716049382716","15.3333333333333","age","120"
"Mar 24, 2017","6.9247311827957","17.8064516129032","40.0645161290323","16.8172043010753","10.3870967741935","age","120"
"Mar 25, 2017","6.61437908496732","19.2418300653595","30.0653594771242","20.4444444444444","15.6339869281046","age","120"
"Mar 26, 2017","7.34272300469484","19.0046948356808","22.8920187793427","25.0516431924883","17.7089201877934","age","120"
"Mar 27, 2017","7.82978723404255","17.6170212765957","26.0992907801418","26.0992907801418","14.354609929078","age","120"
"Mar 28, 2017","6.05263157894737","21.1842105263158","29.0526315789474","24.2105263157895","11.5","age","120"
"Mar 29, 2017","8.625","16.675","23.575","29.325","13.8","age","120"
"Mar 30, 2017","6.61437908496732","20.4444444444444","29.4640522875817","19.843137254902","15.6339869281046","age","120"
"Mar 31, 2017","6.52482269503546","20.8794326241135","30.0141843971631","16.9645390070922","17.6170212765957","age","120"
"Apr 1, 2017","13.2","31.6","25.2","11.6","10.4","age","120"
"Apr 2, 2017","5.76716417910448","27.4626865671642","27.1880597014925","11.534328358209","20.0477611940298","age","120"
