date,hamon retraite,macron retraite,fillon retraite,le pen retraite,mélenchon retraite,query,time
"Feb 25, 2017","6.13333333333333","58.2666666666667","15.3333333333333","9.2","3.06666666666667","age","120"
"Feb 26, 2017","10.2222222222222","46","15.3333333333333","12.7777777777778","7.66666666666667","age","120"
"Feb 27, 2017","6.13333333333333","52.1333333333333","15.3333333333333","15.3333333333333","3.06666666666667","age","120"
"Feb 28, 2017","7.36","47.84","14.72","18.4","3.68","age","120"
"Mar 1, 2017","8.625","34.5","28.75","17.25","2.875","age","120"
"Mar 2, 2017","2.76691729323308","69.1729323308271","9.68421052631579","9.68421052631579","0.691729323308271","age","120"
"Mar 3, 2017","6.38888888888889","56.2222222222222","16.6111111111111","7.66666666666667","5.11111111111111","age","120"
"Mar 4, 2017","6.13333333333333","42.9333333333333","18.4","15.3333333333333","9.2","age","120"
"Mar 5, 2017","7.45945945945946","39.7837837837838","27.3513513513514","12.4324324324324","4.97297297297297","age","120"
"Mar 6, 2017","13.9393939393939","25.0909090909091","36.2424242424242","13.9393939393939","2.78787878787879","age","120"
"Mar 7, 2017","6","48","22","12","4","age","120"
"Mar 8, 2017","9.94594594594595","42.2702702702703","17.4054054054054","19.8918918918919","2.48648648648649","age","120"
"Mar 9, 2017","10.4545454545455","48.0909090909091","16.7272727272727","10.4545454545455","6.27272727272727","age","120"
"Mar 10, 2017","11.5","40.25","20.125","17.25","2.875","age","120"
"Mar 11, 2017","13.9393939393939","41.8181818181818","25.0909090909091","8.36363636363636","2.78787878787879","age","120"
"Mar 12, 2017","6.73170731707317","44.8780487804878","26.9268292682927","6.73170731707317","6.73170731707317","age","120"
"Mar 13, 2017","1.06976744186047","33.1627906976744","48.1395348837209","7.48837209302326","2.13953488372093","age","120"
"Mar 14, 2017","5.63265306122449","30.0408163265306","45.0612244897959","7.51020408163265","3.75510204081633","age","120"
"Mar 15, 2017","7.45945945945946","24.8648648648649","32.3243243243243","19.8918918918919","7.45945945945946","age","120"
"Mar 16, 2017","13.1428571428571","39.4285714285714","29.5714285714286","6.57142857142857","3.28571428571429","age","120"
"Mar 17, 2017","10.8235294117647","32.4705882352941","27.0588235294118","13.5294117647059","8.11764705882353","age","120"
"Mar 18, 2017","13.9393939393939","25.0909090909091","22.3030303030303","11.1515151515152","19.5151515151515","age","120"
"Mar 19, 2017","15.3333333333333","40.8888888888889","15.3333333333333","15.3333333333333","5.11111111111111","age","120"
"Mar 20, 2017","9.38775510204082","35.6734693877551","18.7755102040816","18.7755102040816","9.38775510204082","age","120"
"Mar 21, 2017","4.92857142857143","47.6428571428571","18.0714285714286","14.7857142857143","6.57142857142857","age","120"
