date,hamon blog,macron blog,fillon blog,le pen blog,mélenchon blog,query,time
"Jan 28, 2017","0","0","27.6","28.52","35.88","age","120"
"Jan 29, 2017","0","0","18.7956989247312","28.6881720430108","44.5161290322581","age","120"
"Jan 30, 2017","0","0","44.0425531914894","16.6382978723404","31.3191489361702","age","120"
"Jan 31, 2017","0","0","22.2417582417582","24.2637362637363","45.4945054945055","age","120"
"Feb 1, 2017","0","0","24.3529411764706","31.7941176470588","35.8529411764706","age","120"
"Feb 2, 2017","0","0","42.8493150684931","11.3424657534247","37.8082191780822","age","120"
"Feb 3, 2017","0","0","34.6138613861386","20.039603960396","37.3465346534653","age","120"
"Feb 4, 2017","0","0","27.3719008264463","23.5702479338843","41.0578512396694","age","120"
"Feb 5, 2017","0","0","37.72","21.16","33.12","age","120"
"Feb 6, 2017","0","0","49.1978609625668","15.7433155080214","27.0588235294118","age","120"
"Feb 7, 2017","0","0","33.4545454545455","25.7878787878788","32.7575757575758","age","120"
"Feb 8, 2017","0","0","40.8888888888889","17.037037037037","34.0740740740741","age","120"
"Feb 9, 2017","0","0","18.4","27.6","46","age","120"
"Feb 10, 2017","0","0","20.7945205479452","37.8082191780822","33.3972602739726","age","120"
"Feb 11, 2017","0","0","22.3551401869159","43.8504672897196","25.7943925233645","age","120"
"Feb 12, 2017","0","0","13.9393939393939","40.4242424242424","37.6363636363636","age","120"
"Feb 13, 2017","0","0","22.5964912280702","38.7368421052632","30.6666666666667","age","120"
"Feb 14, 2017","0","0","25.3","36.8","29.9","age","120"
"Feb 15, 2017","0","0","31.6888888888889","22.4888888888889","37.8222222222222","age","120"
"Feb 16, 2017","0","0","31.05","29.9","31.05","age","120"
"Feb 17, 2017","0","0","17.6438356164384","27.7260273972603","46.6301369863014","age","120"
"Feb 18, 2017","0","0","20","0","72","age","120"
"Feb 19, 2017","0","0","14.2758620689655","19.8275862068966","57.8965517241379","age","120"
"Feb 20, 2017","0","0","27.2244897959184","33.7959183673469","30.9795918367347","age","120"
"Feb 21, 2017","0","0","13.5909090909091","35.5454545454545","42.8636363636364","age","120"
"Feb 22, 2017","0","0","16.1237113402062","37.9381443298969","37.9381443298969","age","120"
"Feb 23, 2017","0","0","15.622641509434","22.5660377358491","53.811320754717","age","120"
"Feb 24, 2017","0","0","11.1290322580645","33.3870967741936","47.4838709677419","age","120"
"Feb 25, 2017","0","0","17.8888888888889","34.0740740740741","40.037037037037","age","120"
"Feb 26, 2017","0","0","17.5238095238095","34.1714285714286","40.3047619047619","age","120"
"Feb 27, 2017","0","0","17.6438356164384","36.5479452054795","37.8082191780822","age","120"
"Feb 28, 2017","0","0","18.8433734939759","41.0120481927711","32.144578313253","age","120"
"Mar 1, 2017","0","0","44.099173553719","28.1322314049587","19.7685950413223","age","120"
"Mar 2, 2017","0","0","35.437037037037","20.4444444444444","36.1185185185185","age","120"
"Mar 3, 2017","0","0","38.1142857142857","20.3714285714286","33.5142857142857","age","120"
"Mar 4, 2017","0","0","39.7837837837838","14.9189189189189","37.2972972972973","age","120"
"Mar 5, 2017","0","0","36.4827586206897","23","32.5172413793103","age","120"
"Mar 6, 2017","0","0","32.9811320754717","17.3584905660377","41.6603773584906","age","120"
"Mar 7, 2017","0","0","36.2816901408451","10.3661971830986","45.3521126760563","age","120"
