date,hamon TOTAL,macron TOTAL,fillon TOTAL,le pen TOTAL,mélenchon TOTAL,query,time
"Jan 18, 2017","6.56560873337189","30.1186420433711","11.971569903265","25.8769542720781","17.4672250479139","age","120"
"Jan 19, 2017","11.878396789847","37.1569233367106","10.7017278716887","23.6065577655723","8.65639423618147","age","120"
"Jan 20, 2017","14.7986842105263","26.4718057770689","13.414985380117","25.7747341839447","11.5397904483431","age","120"
"Jan 21, 2017","9.83040015540016","17.1563277906535","12.1692170574524","28.4816841018061","16.6957042280213","age","120"
"Jan 22, 2017","34.9730873728651","16.1156686096977","7.85822063789154","17.6755552851938","15.3774680943519","age","120"
"Jan 23, 2017","27.9208457995555","16.835757860274","8.38289466441269","27.5739236052708","11.286578070487","age","120"
"Jan 24, 2017","30.3510672381362","17.6482982176948","14.3194145263111","16.2863965945862","13.3948234232717","age","120"
"Jan 25, 2017","19.7969881988773","14.9848053053843","23.1743038933643","20.2196174065707","13.8242851958034","age","120"
"Jan 26, 2017","18.5189269928951","16.3430958224324","26.1334472502917","23.2113454065158","7.79318452786499","age","120"
"Jan 27, 2017","18.5088906640961","14.2338966017211","27.653507717427","22.9066152368743","8.69708977988157","age","120"
"Jan 28, 2017","12.252752091578","15.2315844695256","26.8058592905343","23.1830321742159","14.5267719741462","age","120"
"Jan 29, 2017","28.1327642052233","13.4931876231221","19.5724202236054","22.2952834971572","8.50634445089198","age","120"
"Jan 30, 2017","22.9836160414958","18.9868820862487","20.5221990870114","14.441808675619","15.0654941096252","age","120"
"Jan 31, 2017","11.9507325376036","17.3401386520384","26.6855010431486","26.8720853631909","9.15154240401849","age","120"
"Feb 1, 2017","7.04075411300415","21.6323614105948","27.568210324674","25.7450488613409","10.0136252903862","age","120"
"Feb 2, 2017","7.31521264650364","15.2072286966751","32.3654415513097","26.5816584737586","10.5304586317529","age","120"
"Feb 3, 2017","7.69607360347689","15.8706476896152","32.5087857165954","22.9439335280496","12.9805594622629","age","120"
"Feb 4, 2017","7.02485197190951","23.9660538515853","22.2715432508249","29.5391561208387","9.19839480484156","age","120"
"Feb 5, 2017","7.06700773435872","18.2120254016696","16.3830907192066","34.1139476992958","16.2239284454693","age","120"
"Feb 6, 2017","5.64119816061005","13.5553284572091","35.0496673075365","24.0158423098571","13.7379637647872","age","120"
"Feb 7, 2017","7.48196596810114","19.0485311702343","32.2266844858174","23.2008794425214","10.0419389333257","age","120"
"Feb 8, 2017","4.54094911428904","20.2693907475534","32.7483377721137","19.175683121685","15.2656392443588","age","120"
"Feb 9, 2017","5.0584173488245","17.3654034722927","25.9415078395151","35.9142665244645","7.72040481490319","age","120"
"Feb 10, 2017","5.55806043827788","11.4909441379116","17.3735797485661","45.0986469241543","12.4787687510902","age","120"
"Feb 11, 2017","7.16918656047768","16.6559807234433","20.9760387815921","38.4400740152111","8.75871991927575","age","120"
"Feb 12, 2017","6.66466192080633","16.5582989295506","19.6784820197014","36.9180542935163","12.1805028364254","age","120"
"Feb 13, 2017","6.49824495318751","20.3514199150064","21.4836481122431","37.2983174879872","6.36836953157573","age","120"
"Feb 14, 2017","7.54781854448178","13.9076606550011","21.5068094609048","42.1169700002401","6.9207413393723","age","120"
"Feb 15, 2017","7.31829767083193","17.1610027329334","27.6934658088221","30.5511491658452","9.27608462156736","age","120"
"Feb 16, 2017","9.21299818172883","20.1419158665164","23.0226018873877","29.0738014787126","10.5486825856545","age","120"
"Feb 17, 2017","8.72072835066405","27.8645963191481","23.4629162859618","22.0676149285684","9.88414411565758","age","120"
"Feb 18, 2017","6.19279773920525","27.9655286940504","15.6535638242952","30.3691852823408","11.8189244601083","age","120"
"Feb 19, 2017","7.26017608609702","19.1545732048664","13.0476487942842","31.7575647028962","20.7800372118561","age","120"
"Feb 20, 2017","11.8678315931114","23.0900861506791","15.3920065394916","27.6677029743519","13.9823727423661","age","120"
