date,hamon santé,macron santé,fillon santé,le pen santé,mélenchon santé,query,time
"Apr 10, 2017","5.75","5.75","5.75","69","5.75","age","120"
"Apr 11, 2017","2.875","8.625","5.75","37.375","37.375","age","120"
"Apr 12, 2017","5.11111111111111","10.2222222222222","5.11111111111111","5.11111111111111","66.4444444444444","age","120"
"Apr 13, 2017","0","5.93548387096774","2.96774193548387","38.5806451612903","44.5161290322581","age","120"
"Apr 14, 2017","5.11111111111111","5.11111111111111","10.2222222222222","0","71.5555555555556","age","120"
"Apr 15, 2017","6.41860465116279","8.55813953488372","4.27906976744186","4.27906976744186","68.4651162790698","age","120"
"Apr 16, 2017","3.83333333333333","15.3333333333333","3.83333333333333","65.1666666666667","3.83333333333333","age","120"
"Apr 17, 2017","0","16.7272727272727","12.5454545454545","58.5454545454545","4.18181818181818","age","120"
"Apr 18, 2017","4.84210526315789","14.5263157894737","4.84210526315789","4.84210526315789","62.9473684210526","age","120"
"Apr 19, 2017","2.875","8.625","5.75","37.375","37.375","age","120"
